Country,Year,Industry,AI_talent_concentration,Year_over_year_change
Greece,2021,Finance,0.0191,0.4921874999999998
Greece,2022,Finance,0.0306,0.6020942408376965
Sweden,2017,Finance,0.0043,0.6538461538461537
Sweden,2018,Finance,0.0065,0.5116279069767442
Sweden,2019,Finance,0.0085,0.3076923076923076
Sweden,2020,Finance,0.0111,0.3058823529411766
Sweden,2021,Finance,0.0132,0.1891891891891891
Sweden,2022,Finance,0.0158,0.1969696969696969
India,2017,Manufacturing,0.0086,0.3030303030303029
India,2018,Manufacturing,0.0112,0.302325581395349
India,2019,Manufacturing,0.0146,0.3035714285714284
India,2020,Manufacturing,0.0197,0.3493150684931507
India,2021,Manufacturing,0.0265,0.3451776649746192
India,2022,Manufacturing,0.0369,0.3924528301886793
Germany,2017,Manufacturing,0.0077,0.3275862068965518
Germany,2018,Manufacturing,0.0101,0.3116883116883117
Germany,2019,Manufacturing,0.0135,0.3366336633663367
Germany,2020,Manufacturing,0.0175,0.2962962962962962
Germany,2021,Manufacturing,0.0224,0.2800000000000001
Germany,2022,Manufacturing,0.0302999999999999,0.3526785714285712
Japan,2017,Manufacturing,0.0089,0.435483870967742
Japan,2018,Manufacturing,0.0125,0.4044943820224718
Japan,2019,Manufacturing,0.0167,0.3359999999999999
Japan,2020,Manufacturing,0.0214,0.2814371257485031
Japan,2021,Manufacturing,0.0258,0.2056074766355139
Japan,2022,Manufacturing,0.0329,0.2751937984496124
South Korea,2017,Manufacturing,0.0146,0.3153153153153151
South Korea,2018,Manufacturing,0.0174,0.1917808219178082
South Korea,2019,Manufacturing,0.022,0.2643678160919541
South Korea,2020,Manufacturing,0.027,0.2272727272727272
South Korea,2021,Manufacturing,0.0322,0.1925925925925926
South Korea,2022,Manufacturing,0.0375999999999999,0.1677018633540371
Israel,2017,Manufacturing,0.0227,0.3511904761904763
Israel,2018,Manufacturing,0.0294,0.2951541850220264
Israel,2019,Manufacturing,0.0379,0.2891156462585034
Israel,2020,Manufacturing,0.0496999999999999,0.3113456464379946
Israel,2021,Manufacturing,0.0669,0.3460764587525153
Israel,2022,Manufacturing,0.0881,0.3168908819133034
Turkey,2017,Manufacturing,0.0044,0.375
Turkey,2018,Manufacturing,0.0062,0.409090909090909
Turkey,2019,Manufacturing,0.0084,0.3548387096774192
Turkey,2020,Manufacturing,0.0113,0.3452380952380952
Turkey,2021,Manufacturing,0.0147,0.3008849557522124
Turkey,2022,Manufacturing,0.0189,0.2857142857142857
Greece,2017,Manufacturing,0.0034,0.3600000000000001
Greece,2018,Manufacturing,0.0046999999999999,0.3823529411764703
Greece,2019,Manufacturing,0.0062,0.3191489361702128
Greece,2020,Manufacturing,0.0087,0.4032258064516129
Greece,2021,Manufacturing,0.011,0.2643678160919541
Greece,2022,Manufacturing,0.0139999999999999,0.2727272727272725
Sweden,2017,Manufacturing,0.0042,0.4
Sweden,2018,Manufacturing,0.006,0.4285714285714285
Sweden,2019,Manufacturing,0.008,0.3333333333333335
Sweden,2020,Manufacturing,0.0104,0.3
Sweden,2021,Manufacturing,0.0129,0.2403846153846153
Sweden,2022,Manufacturing,0.0163999999999999,0.2713178294573642
India,2017,Professional Services,0.0272,0.2890995260663508
India,2018,Professional Services,0.0348,0.2794117647058822
India,2019,Professional Services,0.0458,0.3160919540229885
India,2020,Professional Services,0.0628,0.3711790393013101
India,2021,Professional Services,0.094,0.4968152866242038
India,2022,Professional Services,0.1448,0.5404255319148936
Germany,2017,Professional Services,0.0121,0.3444444444444443
Germany,2018,Professional Services,0.0167,0.3801652892561983
Germany,2019,Professional Services,0.0223,0.3353293413173653
Germany,2020,Professional Services,0.0288,0.2914798206278026
Germany,2021,Professional Services,0.0356999999999999,0.2395833333333333
Germany,2022,Professional Services,0.0461,0.2913165266106444
Japan,2017,Professional Services,0.0259,0.2758620689655173
Japan,2018,Professional Services,0.0333,0.2857142857142858
Japan,2019,Professional Services,0.042,0.2612612612612613
Japan,2020,Professional Services,0.0513999999999999,0.2238095238095236
Japan,2021,Professional Services,0.0616,0.198443579766537
Japan,2022,Professional Services,0.0802,0.3019480519480518
South Korea,2017,Professional Services,0.0301,0.2700421940928268
South Korea,2018,Professional Services,0.0375999999999999,0.2491694352159468
South Korea,2019,Professional Services,0.0457,0.2154255319148937
South Korea,2020,Professional Services,0.0572,0.2516411378555797
South Korea,2021,Professional Services,0.0701,0.2255244755244755
South Korea,2022,Professional Services,0.0868,0.2382310984308131
Israel,2017,Professional Services,0.0118999999999999,0.4
Israel,2018,Professional Services,0.0161,0.3529411764705884
Israel,2019,Professional Services,0.0214,0.3291925465838509
Israel,2020,Professional Services,0.0282,0.3177570093457942
Israel,2021,Professional Services,0.0355,0.2588652482269503
Israel,2022,Professional Services,0.0455,0.2816901408450704
Turkey,2017,Professional Services,0.0070999999999999,0.3653846153846152
Turkey,2018,Professional Services,0.0103,0.4507042253521128
Turkey,2019,Professional Services,0.0144,0.3980582524271844
Turkey,2020,Professional Services,0.019,0.3194444444444444
Turkey,2021,Professional Services,0.0227,0.1947368421052632
Turkey,2022,Professional Services,0.0258,0.1365638766519824
Greece,2017,Professional Services,0.0125,0.3157894736842105
Greece,2018,Professional Services,0.0166,0.3279999999999999
Greece,2019,Professional Services,0.0217,0.3072289156626506
Greece,2020,Professional Services,0.0285,0.3133640552995392
Greece,2021,Professional Services,0.0343,0.2035087719298245
Greece,2022,Professional Services,0.0405,0.1807580174927112
Sweden,2017,Professional Services,0.008,0.4285714285714285
Sweden,2018,Professional Services,0.0107,0.3375
Sweden,2019,Professional Services,0.0144,0.3457943925233643
Sweden,2020,Professional Services,0.0185,0.2847222222222223
Sweden,2021,Professional Services,0.0232,0.2540540540540539
Sweden,2022,Professional Services,0.0302999999999999,0.3060344827586207
