Country,Job_postings,Total_Job_postings,Relative_Job_postings,Year
Netherlands,7814.0,39480.0,0.1979229989868287,2020
Netherlands,10954.0,53582.0,0.2044343249598746,2020
Netherlands,9504.0,42701.0,0.2225708999789232,2020
Netherlands,8844.0,38626.0,0.2289649458913685,2021
Netherlands,7900.0,33959.0,0.2326334697723725,2021
Netherlands,8705.0,36288.0,0.2398864638447971,2021
Netherlands,3854.0,15561.0,0.247670458196774,2021
Netherlands,8372.0,33839.0,0.247406838263542,2022
Netherlands,9222.0,37624.0,0.24510950457155,2022
Netherlands,8701.0,34763.0,0.2502948537237868,2022
Netherlands,11421.0,46050.0,0.2480130293159609,2022
Netherlands,7491.0,32536.0,0.2302372756331448,2023
Netherlands,5127.0,20015.0,0.2561578815888083,2023
Poland,2000.0,19632.0,0.1018744906275468,2017
Poland,4612.0,43677.0,0.1055933328754264,2017
Poland,4744.0,45470.0,0.1043325269408401,2017
Poland,5433.0,40640.0,0.1336860236220472,2018
Poland,3625.0,30282.0,0.1197080774057195,2018
Poland,3296.0,27720.0,0.1189033189033189,2018
Poland,2521.0,19673.0,0.1281451735881665,2018
Poland,2590.0,18122.0,0.1429202074826178,2019
Poland,2448.0,18389.0,0.1331230627005274,2019
Poland,2479.0,17568.0,0.1411088342440801,2019
Poland,2581.0,14713.0,0.1754230952219126,2019
Poland,3264.0,20396.0,0.1600313787017062,2020
Poland,4542.0,23103.0,0.1965978444357875,2020
Poland,6218.0,33504.0,0.1855897803247373,2020
Poland,11957.0,58664.0,0.2038217646256648,2020
Poland,13234.0,66145.0,0.200075591503515,2021
Poland,14749.0,63247.0,0.2331968314702673,2021
Poland,16989.0,73822.0,0.2301346482078513,2021
Poland,11058.0,43608.0,0.2535773252614199,2021
Poland,16099.0,66719.0,0.2412955829673706,2022
Poland,18214.0,70807.0,0.2572344542206279,2022
Poland,25116.0,91714.0,0.2738513204090978,2022
Poland,38917.0,133713.0,0.2910487387165048,2022
Poland,43695.0,164030.0,0.2663841980125587,2023
Poland,26118.0,99641.0,0.2621210144418462,2023
United States,8135.0,52192.0,0.1558667995095033,2017
United States,29716.0,165940.0,0.179076774737857,2017
United States,31902.0,173943.0,0.1834049085045101,2017
United States,30656.0,170741.0,0.1795467989527998,2018
United States,33298.0,177299.0,0.1878070378287525,2018
United States,35067.0,178105.0,0.1968894753095084,2018
United States,37186.0,178790.0,0.2079870238827675,2018
United States,35618.0,165149.0,0.215671908397871,2019
United States,41381.0,176366.0,0.2346313915380515,2019
United States,40186.0,157922.0,0.2544673952964121,2019
United States,28004.0,116066.0,0.241276515086244,2019
United States,48988.0,185726.0,0.2637649009831687,2020
United States,48440.0,160162.0,0.3024437756771269,2020
United States,50559.0,146057.0,0.346159376133975,2020
United States,52722.0,137373.0,0.3837872070930969,2020
United States,37166.0,105091.0,0.3536554034122808,2021
United States,32559.0,96906.0,0.3359853879016779,2021
United States,30175.0,88459.0,0.3411184842695486,2021
United States,1783.0,5990.0,0.2976627712854758,2021
United States,32088.0,88213.0,0.3637559089930056,2022
United States,37284.0,101244.0,0.3682588597842835,2022
United States,33980.0,95956.0,0.3541206386260369,2022
United States,321476.0,930512.0,0.3454829169317537,2022
United States,530781.0,1717161.0,0.309103805641987,2023
United States,358835.0,1120502.0,0.3202448545384122,2023
